"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"glmGamPoi","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.16.0",NA,NA,"Rcpp, DelayedMatrixStats, matrixStats, MatrixGenerics,
DelayedArray, HDF5Array, SummarizedExperiment,
SingleCellExperiment, BiocGenerics, methods, stats, utils,
splines, rlang, vctrs","Rcpp, RcppArmadillo, beachmat","testthat (>= 2.1.0), zoo, DESeq2, edgeR, limma, beachmat,
MASS, statmod, ggplot2, bench, BiocParallel, knitr, rmarkdown,
BiocStyle, TENxPBMCData, muscData, scran, Matrix, dplyr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"GlobalOptions","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"globals","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"glue","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"GO.db","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.19.1",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.65.2)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"goftest","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"googledrive","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"googlesheets4","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"GOSemSim","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.30.2",NA,"R (>= 3.5.0)","AnnotationDbi, DBI, digest, GO.db, httr2, methods, rlang,
R.utils, stats, utils, yulab.utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
org.Hs.eg.db, prettydoc, rappdirs, readr, rmarkdown, testthat,
tidyr, tidyselect, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"gplots","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.1.3.1",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"gprofiler2","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.2.3",NA,"R (>= 3.5)","jsonlite, RCurl, ggplot2, plotly, tidyr (>= 1.0.0), crosstalk,
grDevices, gridExtra, grid, viridisLite, dplyr",NA,"knitr, rmarkdown, prettydoc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"graphlayouts","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.1",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"gridExtra","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gridGraphics","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gson","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.0",NA,NA,"jsonlite, methods, rlang, stats, tidyr, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"gtable","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.5",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gtools","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"harmony","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.1",NA,"R(>= 3.5.0), Rcpp","dplyr, cowplot, ggplot2, Matrix, methods, tibble, rlang,
RhpcBLASctl","Rcpp, RcppArmadillo, RcppProgress","SingleCellExperiment, Seurat (>= 4.1.1), testthat, knitr,
rmarkdown, ggthemes, ggrepel, patchwork, tidyverse, tidyr,
data.table",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"haven","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"HDF5Array","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.32.1",NA,"R (>= 3.4), methods, DelayedArray (>= 0.27.2), rhdf5 (>=
2.31.6)","utils, stats, tools, Matrix, rhdf5filters, BiocGenerics (>=
0.31.5), S4Vectors, IRanges, S4Arrays (>= 1.1.1)","S4Vectors (>= 0.27.13), Rhdf5lib","BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData, zellkonverter,
GenomicFeatures, RUnit, SingleCellExperiment,
DelayedMatrixStats, genefilter",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"hdf5r","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3.11",NA,"R (>= 3.2.2), methods","R6, bit64, utils",NA,"testthat, knitr, rmarkdown, nycflights13, reshape2, formatR,",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"HDO.db","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.99.1",NA,"R (>= 4.2.0)","AnnotationDbi, methods, utils",NA,"rmarkdown, knitr, testthat (>= 3.0.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"here","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"HGNChelper","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.8.14",NA,"R (>= 4.1.0), methods, utils","splitstackshape",NA,"testthat, knitr, rmarkdown, markdown",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.4.1"
"highr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.11",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"Hmisc","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","5.1-3",NA,"R (>= 4.1.0)","methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer, htm2txt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"hms","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"htmlTable","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.4.3",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"htmltools","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"htmlwidgets","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"httpuv","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.6.15",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"httr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"httr2","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.3",NA,"R (>= 4.0)","cli (>= 3.0.0), curl (>= 5.1.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later, promises, rmarkdown, testthat (>= 3.1.8), tibble,
webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ica","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0-3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"ids","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"igraph","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0.3",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang, stats, utils, vctrs","cpp11 (>= 0.4.7)","ape (>= 5.7-0.1), callr, decor, digest, graph, igraphdata,
knitr, rgl, rmarkdown, scales, stats4, tcltk, testthat, vdiffr,
withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"ini","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"intrinsicDimension","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.0",NA,"yaImpute",NA,NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"IRanges","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.38.1",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.33.3)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"irlba","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.3.5.1",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"isoband","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"iterators","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.0"
"janitor","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.2.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), hms, lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"dbplyr, knitr, rmarkdown, RSQLite, sf, testthat (>= 3.0.0),
tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"job","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.1",NA,"R (>= 3.5.0)","rstudioapi (>= 0.13), digest (>= 0.6.27)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"jquerylib","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"jsonlite","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"KEGGREST","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.44.1",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"kernlab","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9-33",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"knitr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.48",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.44), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, markdown (>= 1.3), png, ragg, reticulate (>= 1.4), rgl
(>= 0.95.1201), rlang, rmarkdown, sass, showtext, styler (>=
1.2.0), targets (>= 0.6.0), testit, tibble, tikzDevice (>=
0.10), tinytex (>= 0.46), webshot, rstudioapi, svglite",NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"ks","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.14.2",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), pracma",NA,"geometry, MASS, misc3d (>= 0.4-0), oz, plot3D, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"labeling","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.4.0"
"lambda.r","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.0"
"later","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"lazyeval","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"leiden","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.3.1",NA,NA,"methods, reticulate, Matrix, igraph (>= 1.2.7)",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
markdown, multiplex, multinet, network, qpdf, RColorBrewer,
remotes, rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"lifecycle","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"listenv","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"lme4","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1-35.5",NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"lmtest","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"lubridate","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"magick","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.8.4",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"magrittr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"maps","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.4.2",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"MarkdownHelpers","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.7",NA,"Stringendo","CodeAndRoll2, colorRamps, gplots, RColorBrewer, ReadWriter",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"MarkdownReports","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.7.1",NA,"CodeAndRoll2, MarkdownHelpers, Stringendo","clipr, colorRamps, gplots, grid, pheatmap, RColorBrewer,
ReadWriter, sessioninfo, VennDiagram, vioplot",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"Matrix","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.7-0","recommended","R (>= 4.4.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.4.0"
"MatrixGenerics","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.16.0",NA,"matrixStats (>= 1.0.0)","methods",NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"MatrixModels","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"matrixStats","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3.0",NA,"R (>= 2.12.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.0"
"mclust","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","6.1.1",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"memoise","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"microbenchmark","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4.10",NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"mime","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.4.0"
"miniUI","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"minqa","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"mnormt","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"modelr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"mrtree","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.0.0.9000",NA,"R (>= 3.6.0)","parallel, checkmate, utils, RSpectra, ape, dendextend,
data.tree, tibble, tidytree, ggplot2, ggtree, ggimage,
clustree, reshape2, yaml, Seurat, SingleCellExperiment, uwot,
grDevices, SymSim",NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"MuDataSeurat","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.0.1.0000",NA,NA,"hdf5r, Matrix, Seurat, methods, utils",NA,"rmarkdown, knitr, SeuratData, BiocStyle",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"multicool","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.1",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"munsell","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"mvtnorm","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3-0",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"Nebulosa","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.14.0",NA,"R (>= 4.0), ggplot2, patchwork","SingleCellExperiment, SummarizedExperiment, SeuratObject, ks,
Matrix, stats, methods, ggrastr",NA,"testthat, BiocStyle, knitr, rmarkdown, covr, scater, scran,
DropletUtils, igraph, BiocFileCache, Seurat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"nloptr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"NLP","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3-0",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.4.1"
"numDeriv","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
